2,6.85714,56,73740
4,6.85714,224,75724
8,7.45631,824,82064
16,7.22824,3400,84440
32,7.19438,13664,119480
64,6.83236,57552,296596
128,7.14912,220008,950988
256,6.7996,925268,3673452
512,3.21,7.83982e+06,14396604
1024,2.62619,3.83305e+07,57625240
2048,2.61428,1.54021e+08,202288868
4096,2.63081,6.12211e+08,772057220
